Tire,FZ_N,Wheel_Travel_mm,Dynamic_Camber_deg,Interpolated_Mu_Clamped,Available_Lateral_Force_N,Roll_Reference_deg
IF,297.856216949152,-16.3624617374468,0.225822184016884,2.663802258069,793.430063289041,1.5
OF,800.488583050847,16.3624617374468,-0.24346349807744,2.47825042146638,1983.81116832479,1.5
IR,516.594376271186,-16.1006623496477,0.580142577545299,2.55219583230337,1318.45001411068,1.5
OR,1130.92282372881,16.1006623496477,-0.602022086774549,2.43189528364492,2750.2858811925,1.5
