Axle,Wheel_Travel_mm,Camber_deg,Camber_Change_deg,Instant_Center_Y_mm,Roll_Center_Height_mm,Track_mm,Solver_Residual_mm
Front,-30,-1.09800670623779,0.401993293762207,0,59.7489658471143,1248.68496021177,6.71434463583864e-09
Front,-25,-1.16128671750692,0.338713282493077,0,51.1600942203588,1249.29077456013,3.93441723645083e-09
Front,-20,-1.22601444000081,0.273985559999194,0,42.6282102718281,1249.74144655724,2.61644572674413e-09
Front,-15,-1.29221769685467,0.207782303145334,0,34.1512279415374,1250.03742417791,3.7273366615409e-09
Front,-10,-1.35992702527937,0.140072974720626,0,25.7272284485869,1250.17904348156,4.54861037724186e-10
Front,-5,-1.42917574099349,0.0708242590065108,0,17.3544528244366,1250.1665300365,1.87071691470919e-10
Front,0,-1.5,-2.48480834489337e-17,0,9.03129559530353,1250,0
Front,5,-1.5724388885498,-0.0724388885498046,0,0.756299581229241,1249.67946076115,6.10174311077571e-09
Front,10,-1.64653453115612,-0.146534531156115,0,-7.47184824985135,1249.20481118983,4.43384351456189e-09
Front,15,-1.7223321964795,-0.222332196479503,0,-15.6543199344681,1248.57584156295,7.04403646523133e-10
Front,20,-1.79988043514614,-0.299880435146136,0,-23.7921486585662,1247.79223305847,5.14774001203477e-10
Front,25,-1.8792312395282,-0.379231239528197,0,-31.8862299169101,1246.85355685162,4.49665549240308e-09
Front,30,-1.96044020098753,-0.460440200987528,0,-39.9373217186209,1245.7592728892,7.42301153877634e-09
Rear,-30,-0.432631169557571,1.06736883044243,0,97.5087926962766,1228.19847880917,3.4999914078071e-09
Rear,-25,-0.606562103614326,0.893437896385674,0,88.883611077352,1228.94016521612,8.79254002938978e-10
Rear,-20,-0.781908552442077,0.718091447557923,0,80.3485152806085,1229.50452988774,7.93193066783715e-10
Rear,-15,-0.958796119488445,0.541203880511555,0,71.9020304412233,1229.89225478154,9.560210401105e-10
Rear,-10,-1.13735278618071,0.362647213819289,0,63.5429710039789,1230.10386016823,3.69061581295682e-09
Rear,-5,-1.31770937006704,0.182290629932964,0,55.2704373766357,1230.13970724167,1.31473143483163e-09
Rear,0,-1.5,2.48480834489337e-17,0,47.0838147485591,1230,0
Rear,5,-1.68436259746552,-0.184362597465515,0,38.9827740356629,1229.68478646094,7.29684757061477e-09
Rear,10,-1.87093937221756,-0.370939372217557,0,30.9672749715322,1229.19395921157,5.41893996341969e-09
Rear,15,-2.0598773660706,-0.559877366070595,0,23.0375714383992,1228.52725521911,2.0957315882697e-09
Rear,20,-2.25132899843289,-0.751328998432891,0,15.1942190254876,1227.68425504292,1.58269131134148e-09
Rear,25,-2.44545265980614,-0.945452659806144,0,7.43808498857765,1226.66438132688,4.22068069383386e-09
Rear,30,-2.64241332697939,-1.14241332697939,0,-0.22963930754297,1225.4668966436,1.79642256625812e-09
