Case,Front_Ride_Frequency_Hz,Rear_Ride_Frequency_Hz,Front_Wheel_Rate_N_per_mm,Rear_Wheel_Rate_N_per_mm,Front_Roll_Stiffness_Nm_per_rad,Rear_Roll_Stiffness_Nm_per_rad,Front_Roll_Stiffness_Share,Predicted_Roll_Angle_deg,Outside_Front_Wheel_Travel_mm,Outside_Rear_Wheel_Travel_mm,Outside_Front_Dynamic_Camber_deg,Outside_Rear_Dynamic_Camber_deg
Soft,1.8,2,7.16296409013461,13.2647483150641,5596.06569541767,10034.1188629302,0.358029406148558,4.56468778132792,49.7930194435794,48.9963311324821,2.35117556297966,1.26767247116739
Medium-soft,2,2.2,8.84316554337606,16.0503454612276,6908.72308076255,12141.2838241456,0.362662497459912,3.74524339174957,40.8542677966187,40.2005995118728,1.65981957993215,0.770824978559963
Medium,2.2,2.4,10.700230307485,19.1012375736923,8359.55492772269,14449.1311626195,0.366507517996064,3.12805885401707,34.121828874224,33.5758796122365,1.13910795113531,0.396612165648692
Medium-stiff,2.4,2.6,12.7341583824615,22.4174246524583,9948.56123629807,16957.6608783521,0.369749465157399,2.65168822919005,28.9254314598403,28.4626245564828,0.73719943139829,0.107777982991189
Stiff,2.6,2.8,14.9449497683055,25.9989066975256,11675.7420064887,19666.8729713433,0.372519715242227,2.27635481352954,24.83117902482,24.4338801604229,0.420534864705639,-0.119795076064916
